[13:10:02.582] RESP                      200 https://load.d.neilpatel.com/gtag/js?id=G-6QNYJFNF1D&cx=c&gtm=4e63b1
[13:10:02.610] JS_SAVED                  load.d.neilpatel.com/gtag/js?id=G-6QNYJFNF1D&cx=c&gtm=4e63b1 (None)
[13:10:02.610] REQ                       POST https://analytics.google.com/g/collect?v=2&tid=G-6QNYJFNF1D&gtm=45je63b1v9103544258z883075
[13:10:02.610] REQ                       POST https://stats.g.doubleclick.net/g/collect?v=2&tid=G-6QNYJFNF1D&cid=1827110152.1773407402&g
[13:10:02.610] RESP                      200 https://d.neilpatel.com/data?v=2&event_name=page_view&dtdc=eyJldmVudF9pZCI6IjE3N
[13:10:02.611] RESP                      200 https://app.neilpatel.com/assets/hinted-Geomanist-Medium-Cf5ih73x.woff2
[13:10:02.614] REQ                       GET https://dev.visualwebsiteoptimizer.com/v.gif?cd=0&a=500967&d=app.neilpatel.com&u=DF8496A4C
[13:10:02.614] REQ                       GET https://analytics.tiktok.com/i18n/pixel/static/main.MTEwMjY2ZTExOQ.js
[13:10:02.614] REQ                       GET https://bat.bing.com/p/action/136027005.js
[13:10:02.614] REQ                       GET https://connect.facebook.net/signals/config/290266399967247?v=2.9.277&r=stable&domain=app.
[13:10:02.614] RESP                      200 https://app.neilpatel.com/assets/seo_tip11-Dct8e7St.png
[13:10:02.616] RESP                      200 https://app.neilpatel.com/assets/hinted-Geomanist-Regular-urYec3Iv.woff2
[13:10:02.618] REQ                       GET https://t.neilpatel.com/v1/lst/gusid
[13:10:02.618] RESP                      200 https://ubersuggest.zendesk.com/embeddable/config
[13:10:02.618] REQ                       OPTIONS https://t.neilpatel.com/v1/lst/gusid
[13:10:02.619] RESP                      204 https://ubersuggest.zendesk.com/frontendevents/pv?client=1B752747-577B-429A-A0E0
[13:10:02.619] REQ                       GET https://app.neilpatel.com/assets/index-CsWVu6uM.js
[13:10:02.619] REQ                       GET https://app.neilpatel.com/assets/ubersuggest-logo-orange-2-BF10Eq7c.js
[13:10:02.619] RESP                      200 https://dev.visualwebsiteoptimizer.com/v.gif?cd=0&a=500967&d=app.neilpatel.com&u
[13:10:02.620] RESP                      200 https://www.google-analytics.com/j/collect?v=1&_v=j102&a=1846027494&t=pageview&_
[13:10:02.620] RESP                      200 https://bat.bing.com/p/action/136027005.js
[13:10:02.621] JS_SAVED                  https://bat.bing.com/p/action/136027005.js (None)
[13:10:02.621] REQ                       GET https://www.clarity.ms/tag/uet/136027005
[13:10:02.621] REQ                       GET https://bat.bing.com/action/0?ti=136027005&Ver=2&mid=fe105278-6290-4eb9-bc66-58d2c8f5eeda&
[13:10:02.621] RESP                      204 https://analytics.google.com/g/collect?v=2&tid=G-PE1RZ8MRZD&gtm=45je63b1v8676120
[13:10:02.621] RESP                      204 https://analytics.google.com/g/collect?v=2&tid=G-PE1RZ8MRZD&gtm=45je63b1v8676120
[13:10:02.621] RESP                      204 https://analytics.google.com/g/collect?v=2&tid=G-6QNYJFNF1D&gtm=45je63b1v9103544
[13:10:02.621] RESP                      200 https://www.googletagmanager.com/gtag/js?id=AW-10841102949
[13:10:02.646] JS_SAVED                  https://www.googletagmanager.com/gtag/js?id=AW-10841102949 (Google Tag Manager)
[13:10:02.646] REQ                       GET https://googleads.g.doubleclick.net/pagead/viewthroughconversion/10841102949/?random=17734
[13:10:02.646] REQ                       POST https://www.google.com/ccm/collect?frm=0&en=page_view&dl=https%3A%2F%2Fapp.neilpatel.com%2
[13:10:02.646] RESP                      200 https://googleads.g.doubleclick.net/pagead/viewthroughconversion/348714864/?rand
[13:10:02.649] JS_SAVED                  amb=0&uam=&uap=Windows&uapv=12.0.0&uaw=0&_tu=CA&rfmt=3&fmt=4 (Google DoubleClick)
[13:10:02.649] REQ                       GET https://www.google.com/pagead/1p-user-list/348714864/?random=1773407402018&cv=11&fst=17734
[13:10:02.649] RESP                      200 https://ubersuggest.zendesk.com/frontendevents/pv?client=1B752747-577B-429A-A0E0
[13:10:02.649] RESP                      200 https://googleads.g.doubleclick.net/pagead/viewthroughconversion/348714864/?rand
[13:10:02.650] JS_SAVED                  dows&uapv=12.0.0&uaw=0&data=event%3Dgtag.config&rfmt=3&fmt=4 (Google DoubleClick)
[13:10:02.650] REQ                       GET https://www.google.com/pagead/1p-user-list/348714864/?random=1773407401987&cv=11&fst=17734
[13:10:02.651] RESP                      204 https://bat.bing.com/action/0?ti=136027005&Ver=2&mid=fe105278-6290-4eb9-bc66-58d
[13:10:02.652] RESP                      200 https://www.clarity.ms/tag/uet/136027005
[13:10:02.661] JS_SAVED                  https://www.clarity.ms/tag/uet/136027005 (Microsoft Clarity)
[13:10:02.661] REQ                       GET https://scripts.clarity.ms/0.8.58-beta/clarity.js
[13:10:02.661] RESP                      200 https://app.neilpatel.com/assets/ubersuggest-logo-orange-2-BF10Eq7c.js
[13:10:02.666] JS_SAVED                  p.neilpatel.com/assets/ubersuggest-logo-orange-2-BF10Eq7c.js (None)
[13:10:02.666] RESP                      200 https://app.neilpatel.com/assets/index-CsWVu6uM.js
[13:10:02.673] JS_SAVED                  https://app.neilpatel.com/assets/index-CsWVu6uM.js (None)
[13:10:02.673] REQ                       POST https://app.neilpatel.com/api/user_action
[13:10:02.673] REQ                       GET https://app.neilpatel.com/assets/ubersuggest-logo-orange-2--zbJ67AV.svg
[13:10:02.691] REQ                       GET data:image/svg+xml,%3csvg%20width='16'%20height='16'%20viewBox='0%200%2016%2016'%20fill='n
[13:10:02.691] RESP                      200 data:image/svg+xml,%3csvg%20width='16'%20height='16'%20viewBox='0%200%2016%2016'
[13:10:02.694] REQ                       GET https://challenges.cloudflare.com/turnstile/v0/api.js?onload=cf__reactTurnstileOnLoad&rend
[13:10:02.724] REQ                       GET https://app.neilpatel.com/assets/hinted-Geomanist-Light-CCCa7lts.woff2
[13:10:02.724] REQ                       GET https://fonts.gstatic.com/s/roboto/v51/KFO7CnqEu92Fr1ME7kSn66aGLdTylUAMa3yUBA.woff2
[13:10:02.724] REQ                       GET https://app.neilpatel.com/assets/hinted-Geomanist-Book-Cv5PiIgS.woff2
[13:10:02.725] RESP                      200 https://www.google.com/ccm/collect?frm=0&en=page_view&dl=https%3A%2F%2Fapp.neilp
[13:10:02.737] RESP                      200 https://www.google.com/pagead/1p-user-list/348714864/?random=1773407402018&cv=11
[13:10:02.740] RESP                      200 https://www.google.com/pagead/1p-user-list/348714864/?random=1773407401987&cv=11
[13:10:02.742] RESP                      200 https://analytics.tiktok.com/i18n/pixel/static/main.MTEwMjY2ZTExOQ.js
[13:10:02.837] JS_SAVED                  nalytics.tiktok.com/i18n/pixel/static/main.MTEwMjY2ZTExOQ.js (TikTok Pixel)
[13:10:02.837] RESP                      200 https://t.neilpatel.com/v1/lst/gusid
[13:10:02.839] REQ                       GET https://analytics.tiktok.com/i18n/pixel/static/identify_31760074.js
[13:10:02.839] REQ                       POST https://analytics-ipv6.tiktokw.us/ipv6/enrich_ipv6
[13:10:02.839] REQ                       POST https://analytics.tiktok.com/api/v2/pixel
[13:10:02.839] REQ                       POST https://analytics.tiktok.com/api/v2/pixel
[13:10:02.839] RESP                      200 https://load.d.neilpatel.com/gtag/js?id=AW-10841102949&cx=c&gtm=4e63b1
[13:10:02.866] JS_SAVED                  ad.d.neilpatel.com/gtag/js?id=AW-10841102949&cx=c&gtm=4e63b1 (None)
[13:10:02.866] RESP                      204 https://stats.g.doubleclick.net/g/collect?v=2&tid=G-PE1RZ8MRZD&cid=1827110152.17
[13:10:02.884] RESP                      204 https://stats.g.doubleclick.net/g/collect?v=2&tid=G-6QNYJFNF1D&cid=1827110152.17
[13:10:02.891] RESP                      200 https://googleads.g.doubleclick.net/pagead/viewthroughconversion/10841102949/?ra
[13:10:02.892] JS_SAVED                  pv=12.0.0&uaw=0&_tu=CA&data=event%3Dgtag.config&rfmt=3&fmt=4 (Google DoubleClick)
[13:10:02.892] REQ                       GET https://www.google.com/pagead/1p-user-list/10841102949/?random=1773407402594&cv=11&fst=177
[13:10:02.901] RESP                      200 https://app.neilpatel.com/assets/ubersuggest-logo-orange-2--zbJ67AV.svg
[13:10:02.906] RESP                      200 https://app.neilpatel.com/assets/hinted-Geomanist-Book-Cv5PiIgS.woff2
[13:10:02.908] RESP                      200 https://app.neilpatel.com/assets/hinted-Geomanist-Light-CCCa7lts.woff2
[13:10:02.910] RESP                      200 https://connect.facebook.net/signals/config/290266399967247?v=2.9.277&r=stable&d
[13:10:02.918] JS_SAVED                  6%2C68%2C113%2C103%2C40%2C134%2C0%2C79%2C36%2C105%2C13%2C157 (Facebook Pixel)
[13:10:02.918] REQ                       GET https://www.facebook.com/tr/?id=290266399967247&ev=PageView&dl=https%3A%2F%2Fapp.neilpatel
[13:10:02.918] REQ                       GET https://www.facebook.com/privacy_sandbox/pixel/register/trigger/?id=290266399967247&ev=Pag
[13:10:02.918] RESP                      200 https://t.neilpatel.com/v1/lst/gusid
[13:10:02.918] REQ                       GET https://lg.hyr.so/v1/lst/session
